#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-03T11:00:27 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-03T11:00:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/695/A74/tableb1&-out=Region,FFUV,b_FFUV,B_FFUV&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36950074
#Name: J/A+A/695/A74
#Title: A new FUV flux catalogue for disc-hosting stars (Anania+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/695/a74	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/695/a74	    IVOID of underlying data collection
#INFO	creator=Anania R.	    First author or institution
#INFO	cites=bibcode:2025A&A...695A..74A	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/695/A74	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36950074	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-01-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_695_A74_tableb1:
#Name: J/A+A/695/A74/tableb1
#Title: FUV flux at the position of the considered discs in 14 nearby star-forming regions (updated version, 23-Jan-2026)
#Column	Region	(a10)	Region of the source	[ucd=obs.field]
#Column	FFUV	(F26.16)	50% of the far-ultraviolet flux distribution (in Habing unit, G_0_) (1)	[ucd=phot.flux;em.UV]
#Column	b_FFUV	(F24.16)	? 16% of the far-ultraviolet flux distribution (in Habing unit, G_0_) (1)	[ucd=phot.flux]
#Column	B_FFUV	(F25.16)	? 84% of the far-ultraviolet flux distribution (in Habing unit, G_0_) (1)	[ucd=phot.flux]
Region	FFUV	b_FFUV	B_FFUV
 	 	 	
----------	--------------------------	------------------------	-------------------------
UppSco    	       39.2776928887069587	     14.3785575239535248	      73.8716251869784060
UppSco    	       47.2721892923137830	     20.0941777574302698	     132.2051949782123188
UppSco    	       24.2988550979744495	     13.5994946004151274	      34.0998803521068297
UppSco    	       19.0867814949767265	     14.0405425299757596	      24.2912327148642504
UppSco    	       22.7277518707230755	     15.2595647227458944	      33.5602671749214281
UppSco    	       18.0915730921418714	     12.8715337949306718	      23.0036183598261594
UppSco    	       52.3906409662845647	     20.8739000755749551	     168.5754407812025306
UppSco    	       18.5925785243683990	     13.1013627413799316	      25.1408974176535835
UppSco    	       22.1252177947883482	     16.5946910930235205	      28.8445695567388896
UppSco    	       15.2610609726584183	     10.8814687991789985	      18.9577065384998242
UppSco    	      195.8648058557176057	     44.6943388532174026	     788.9212303566112041
UppSco    	       28.1509354549950288	     19.0315839833964837	      39.0279193232266834
UppSco    	       47.0310579538786158	     21.9888195612201400	     121.8943975943074776
UppSco    	       26.7211069057889077	     15.9960258555214967	      46.1012366904685678
UppSco    	       23.8466026340057056	     13.1370883641098981	      81.3679241734257630
UppSco    	       41.0696085111171669	     16.6944594347109820	     114.0530011533837609
UppSco    	       55.6344117586135667	     24.6365959004923596	      93.6185005855600991
UppSco    	       42.8072675369853144	     18.3670215585194470	      83.9732126526272111
UppSco    	       24.7324281149349758	     15.1675851294229833	      42.0226071060328294
UppSco    	       28.5016971004330983	     15.3503700058246793	      53.1618806519944016
UppSco    	       26.0649844322052431	     15.7357099940195404	      33.5187830162579132
UppSco    	       20.4860058304239985	     13.2000735925675041	      28.2587293435570253
UppSco    	       87.3749752828677941	     27.1013577967312322	     223.8801790260007181
UppSco    	       68.3953332392170523	     22.5132768084683796	     322.5108065670925157
UppSco    	       59.7515850705723324	     22.3604347889407435	     466.7142439115561956
UppSco    	        1.8668576960095808	      1.7820199214571435	       1.9693047223237927
UppSco    	       16.1879676459757178	     11.9605785036470191	      26.8740242293854656
UppSco    	       26.5702862655330385	     17.9157452133520358	      39.6729504488442615
UppSco    	       36.7183713803879499	     25.7962696093089292	      50.2666974243511433
UppSco    	       16.8929655067919171	     12.4642398262483791	      23.0286391530683368
